날짜,시간,10,100,101,120,121,140,150,160,200,201,251,270,300,301,351,352,370,400,450,500,550,600,650,652,1000,1020,1040,1100,1200,1510,2510,3000,4510,5510,6000
날짜,시간,경부선,남해선(순천-부산),남해선(영암-순천),광주대구선,무안광주선,고창담양선,서해안선,울산선,대구포항선,익산장수선,호남선,순천완주선,청주영덕선,당진대전선,통영대전선,중부선,제2중부선,평택제천선,중부내륙선,영동선,중앙선,서울양양선,동해선(삼척-속초),동해선(부산-포항),서울외곽순환선,남해1지선,남해2지선,제2경인선,경인선,서천공주선,호남지선,대전남부선,중부내륙지선,중앙선지선,부산외곽선
20200101,0,83247,19128,2611,5161,1588,892,32263,1636,7938,1894,14957,3527,11174,2930,8640,14175,2035,5231,18492,48520,15393,16628,8804,2790,38657,1311,3482,11299,7072,1176,3810,748,3920,2133,3799
20200101,1,89309,19027,3337,5502,1650,1043,35609,1644,9896,1967,14682,3420,13884,3062,8349,15654,2417,5483,15283,57904,15834,19785,8483,3381,45759,1162,3849,13180,8771,1283,3763,782,3483,2057,4010
20200101,2,66611,14710,2970,4631,1044,921,26821,1104,9343,1838,11120,3587,17141,3255,7025,12520,1859,5058,14327,53876,13866,24501,8167,2670,27425,768,2299,7986,5426,1536,3229,491,2634,1526,3388
20200101,3,53290,13753,2270,4242,1021,790,21322,909,10009,1630,9836,3842,20715,2661,7226,9821,1724,4863,12787,51615,13528,28695,9459,2325,18893,632,1716,5703,3156,1104,2882,431,2488,1268,3686
20200101,4,52095,17615,2406,3689,1840,922,22711,1354,15497,1264,10668,4559,28308,2894,8201,9038,960,5166,11479,47424,18156,26977,10944,3583,18135,875,2421,5816,2933,1206,2433,499,2952,1927,5608
20200101,5,62591,24078,3981,4219,5097,1371,32685,2259,24216,1313,13554,4519,36752,4178,9800,9742,1212,5676,10886,40400,19010,27132,12024,6024,23685,1229,4420,8594,3570,1941,2909,649,3620,2798,10466
20200101,6,72799,25743,4381,6012,8153,1416,39633,2293,17316,1607,13444,4290,23213,3887,10213,13504,2259,7197,13685,43400,16905,25045,15647,6399,30936,1459,5494,11482,4718,2158,3273,850,4107,2895,10407
20200101,7,98367,27781,2999,7329,3232,1444,44490,2306,4632,2616,17202,4726,7236,4051,11848,18750,3087,9638,19582,47692,23155,16320,13955,3101,39330,1781,5243,11520,5186,1583,4986,1218,4702,2727,5933
20200101,8,138272,40870,5948,11362,6694,2230,65776,3867,16957,3481,24922,7581,26225,6988,19541,24882,4448,13893,26331,63430,32917,20268,35563,8469,54551,2500,7057,15965,7573,3127,7493,1573,7166,4118,12344
20200101,9,204720,67043,10705,18562,10834,4641,98809,6573,29484,5790,42791,13914,44459,13713,31978,37551,5778,19025,40263,91220,53809,34104,31529,11968,79528,4060,9684,20723,9635,5636,13181,2913,10583,6812,17923
20200101,10,285893,99797,14720,29880,10909,7379,141537,8493,33281,9242,64199,20862,58456,21880,48651,52873,8212,27724,59197,115058,82390,37930,35402,15273,115926,7107,13536,28201,13271,8789,20025,4253,16357,10540,23856
