id,650_src,650_dst
0,0.3795,2.447757668407173e-18
1,0.0,0.0
2,0.0,1.6774445909993685e-19
3,0.27503,4.044975280146593e-11
4,1.01521,4.784750953172735e-14
5,0.02976,0.0
7,0.037489999999999996,0.0
9,0.0,2.7238552716062147e-20
10,0.11169000000000001,4.0737355549956647e-22
11,0.0183,0.0
12,0.07312,3.282508513556294e-14
13,0.0,2.468581877489233e-12
15,0.18028,7.210768012081512e-17
16,0.0,1.4711777253589824e-19
17,0.00294,9.696022158078847e-14
18,0.20665999999999998,0.0
19,0.0,0.0
21,0.018359999999999998,3.091025366669873e-20
23,0.07468999999999999,1.0560622194824643e-12
24,0.17742,0.0
25,0.06151,2.697817769171301e-19
26,0.0,1.2311610797207687e-19
27,0.45392,8.083862214727188e-19
28,0.00903,0.0
29,0.08131000000000001,0.0
31,0.0,1.222045277161104e-12
33,0.013880000000000002,3.7880856233410283e-20
35,0.9993700000000001,0.0
36,0.16249,0.0
37,0.23188000000000003,0.0
40,0.00404,0.0
41,0.01775,0.0
42,0.03505,5.3565581207953857e-17
43,0.01681,0.0
44,0.0,0.0
46,0.0,3.152155407231879e-11
47,0.1026,0.0
48,0.0,0.0
50,0.23515999999999998,1.41832879877526e-17
51,0.16233,5.346408929490282e-17
52,0.01744,0.0
53,0.15194000000000002,9.689701532092883e-20
54,0.49501999999999996,9.006168730152525e-11
56,0.23231,0.0
58,0.46368000000000004,0.0
59,0.0,1.6987055631781385e-11
60,0.0,4.0862887251828547e-20
61,0.6701600000000001,6.612670806977636e-11
62,1.0117200000000002,1.32281939405454e-13
65,0.0,0.0
66,0.25473,0.0
67,0.00784,0.0
68,0.00325,1.1578190936559277e-15
69,0.04463,6.560831517774706e-12
70,0.00499,5.852235177472612e-13
71,0.05026,0.0
72,0.65665,1.257710631657141e-19
74,0.0,2.8048065669972697e-18
75,0.013269999999999999,6.102069676897518e-20
77,0.12193,0.0
78,0.0,4.9555746223766524e-21
79,0.028810000000000002,0.0
81,0.43542,2.027234405147057e-14
82,0.8166899999999999,0.0
83,0.08367999999999999,8.056450641934223e-16
84,0.5685399999999999,5.3229391083358166e-17
85,0.46813999999999995,0.0
86,0.10855999999999999,1.7492875239419666e-17
87,0.09341,9.09565813863468e-14
88,0.01144,1.4463787248310949e-19
89,0.01898,7.16626860541271e-16
90,0.0,0.0
91,0.011000000000000001,0.0
94,0.07014,0.0
95,1.01719,0.0
96,0.17057999999999998,0.0
97,0.00526,1.4673662540538838e-10
98,0.12737,3.252353595797119e-17
99,0.0,3.1571920087822417e-12
100,0.00897,0.0
101,0.8249700000000001,2.657488726680038e-16
102,0.13946,0.0
103,0.39289,0.0
104,0.14224,0.0
105,0.27038,3.0762108496645797e-15
107,0.1625,0.0
108,0.12368,4.773079999186878e-18
109,0.07214,0.0
110,0.04505,0.0
111,0.01872,7.532729382463109e-17
112,0.0064,0.0
113,0.00555,0.0
114,0.01379,2.4646673193880916e-12
115,0.11639000000000001,2.5700928510789743e-12
116,0.00686,0.0
117,0.0,0.0
119,0.00966,0.0
120,0.16552,1.5580080876160994e-15
121,0.21270999999999998,0.0
122,0.00016,0.0
123,0.07929,0.0
124,1.00957,0.0
125,0.1844,0.0
126,0.12145,5.3849321296979177e-17
127,0.06782,0.0
128,0.0,3.484094607477572e-14
129,0.01064,0.0
