id,rho,660_src,830_src
9999,10,0.28181999999999996,0.61479
3834,10,0.11840999999999999,0.76748
9025,10,0.21381999999999998,0.6975600000000001
3837,10,0.01853,0.18902
9023,10,0.33069,0.63848
3843,10,0.0,0.43811000000000005
9022,10,1.0073299999999998,0.98831
3846,10,0.054920000000000004,0.74192
3847,10,0.77381,0.45861999999999997
3853,10,0.03302,0.17957
3854,10,0.0,0.90754
3866,10,0.05156,0.42749
3868,10,0.00671,0.90861
9017,10,0.53485,0.02543
9016,10,0.01637,0.89779
3875,10,0.13817000000000002,0.9938899999999999
3880,10,1.0,0.9842799999999999
3887,10,0.0,0.59524
3888,10,0.0297,0.052779999999999994
9012,10,0.0018,0.98487
9011,10,0.09124,0.80211
3894,10,0.45093999999999995,0.0
3895,10,0.0,0.8786
3901,10,0.0,0.26842
3910,10,0.0,0.15391
3913,10,0.08317000000000001,0.68888
3832,10,0.01267,0.0196
3917,10,0.014830000000000001,0.09137999999999999
3831,10,0.037989999999999996,0.9788399999999999
9026,10,0.23125,0.91955
3759,10,0.01986,0.99898
9039,10,0.74155,0.19462000000000002
9035,10,0.00924,0.9271
3771,10,0.06701,0.9751200000000001
3772,10,0.02266,0.5139100000000001
3773,10,0.12573,0.8690899999999999
3775,10,0.01718,0.26143
3777,10,0.06309,0.46368000000000004
3779,10,0.0,0.02299
3780,10,0.0,0.0
9033,10,0.11267,0.956
3790,10,0.0,0.86321
3791,10,0.7713300000000001,0.3292
3792,10,0.01648,0.0
3793,10,0.01854,0.2916
3801,10,0.35615,0.78071
3805,10,0.60514,0.24523000000000003
9030,10,0.27286,0.05627000000000001
3812,10,0.01311,0.58091
3813,10,0.00527,0.35875999999999997
3814,10,0.014530000000000001,0.61214
9028,10,0.01796,0.20814000000000002
3816,10,0.02422,0.28643
3819,10,0.8072,0.27194
3820,10,0.32852,0.18849000000000002
3828,10,0.030739999999999996,0.7955
3922,10,0.02984,0.07322000000000001
3923,10,0.60801,0.33249
3924,10,0.0617,0.99303
4010,10,0.14478,0.01961
4016,10,0.06745,0.93686
8984,10,0.0,0.44065
4018,10,0.0,0.00859
8983,10,0.0,0.28171999999999997
